Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2021-05-05,Toolplas Systems Mexico S de RL de CV,Sybridge Technologies Inc/US,,,Undisclosed, ,Completed,Industrials,2021-05-05
M&A,2021-05-09,Nubila Co Ltd,Nybl Co Ltd,,,Undisclosed, ,Completed,Technology,2021-05-09
M&A,2021-05-21,Joint Venture,Enven Energy Ventures LLC,BHP Group Ltd,,Cash, ,Completed,Financials,2021-05-21
M&A,2021-04-07,Offshore fiber cable network/Gulf of Mexico,Colombo Topco Ltd,BP PLC,,Cash, ,Completed,Communications,2021-04-07
M&A,2021-04-14,Hospice De La Luz,Jet Health Inc,,,Undisclosed, ,Completed,Health Care,2021-04-14
M&A,2021-04-14,OK Industries Inc,BT Supplies West Inc,Industrias Bachoco SAB de CV,,Undisclosed, ,Completed,Consumer Staples,2021-04-14
M&A,2021-04-15,Maniak,Butchershop Creative LLC,,,Undisclosed, ,Completed,Technology,2021-04-15
M&A,2021-04-26,Metro Net SAPI de CV,Sixsigma Networks Mexico SA de CV,,,Undisclosed, ,Completed,Communications,2021-04-26
M&A,2021-02-02,"Pacific Trans Environmental Services Inc,Pacific Treatment Environmental Services SA de CV",VLS Environmental Solutions LLC,,,Undisclosed, ,Completed,"Industrials, Industrials",2021-02-02
M&A,2021-02-03,Minnt Solutions SA de CV,Suma Saas Holdings Ltd,"Unknown Seller,Capital Invent MX SAPI de CV,IGNIA Partners LLC (Fund: IGNIA Fund II LP),Avalancha Ventures SAPI de CV",,Cash, ,Completed,Technology,2021-02-03
M&A,2021-03-18,Zama field/Mexico,Potential Buyer,Harbour Energy PLC,,Cash, ,Withdrawn,Energy,2021-09-18
M&A,2021-02-02,Copyrent del Noroeste SA de CV,Grupo Media Capital SGPS SA,,,Undisclosed, ,Completed,Health Care,2021-02-02
M&A,2021-02-08,AMI Automation,Resonac Holdings Corp,,,Undisclosed, ,Completed,Industrials,2021-02-05
M&A,2021-03-09,Cerro Los Gatos Mine,Gatos Silver Inc,Dowa Holdings Co Ltd,,Cash, ,Pending,Materials,2021-03-31
M&A,2021-03-11,ECAPFIN SAPI de CV,Itoco Inc,,,Undisclosed, ,Pending,Financials,2021-06-30
M&A,2021-07-29,Kanan Smart Solution Sapi de CV,Mekitec Oy,Grupo Bimbo SAB de CV,,Undisclosed, ,Completed,Health Care,2021-07-15
M&A,2021-07-30,Controladora Nemak SAB de CV,Nemak SAB de CV,,,Stock, ,Completed,Consumer Discretionary,2021-09-06
M&A,2021-07-05,Cartonbox,Smurfit Kappa Group PLC,,,Undisclosed, ,Completed,Materials,2021-07-05
M&A,2021-11-08,"Corporate Screening Services Inc,MultiLatin Advisors SA de CV",First Advantage Corp,,,Cash, ,Completed,"Industrials, Technology",2021-12-01
M&A,2021-11-09,Diseno y Manufactura Digital S de RL de CV,Virtual Integrated Analytics Solutions Inc,,,Undisclosed, ,Completed,Technology,2021-11-09
M&A,2021-11-16,Dixo,Exile Content LLC,,,Undisclosed, ,Completed,Technology,2021-11-16
M&A,2021-12-06,ADAM Human Capital Management,Dayforce Inc,,,Undisclosed, ,Completed,Technology,2021-12-06
M&A,2021-12-07,Cacao Paycard Solutions SA de CV,Dock Brasil Ltda,,,Undisclosed, ,Completed,Technology,2021-12-07
M&A,2021-12-16,Portfolio of 14 buildings/Tijuana,"Artha Capital Management Inc,FIBRA Prologis",,,Cash, ,Completed,Real Estate,2021-12-16
M&A,2021-12-13,Interquim SA de CV,"Alta Growth Capital SC (Fund: Alta Growth Capital Mexico Fund III LP),Mexican Capital Investment Corp SA de CV",,,Cash, ,Completed,Consumer Staples,2021-12-13
M&A,2021-07-06,Blockbuster de Mexico SA de CV,Grupo Elektra SAB DE CV,DISH Network Corp,,Undisclosed, ,Completed,Communications,2021-07-06
M&A,2021-07-20,242643 sq ft industrial space/Ciudad Juarez,FIBRA Prologis,,,Cash, ,Completed,Real Estate,2021-07-20
M&A,2021-07-23,Invermerica Distribuidora de Fondos SA de CV,Fintual Inc,,,Undisclosed, ,Completed,Financials,2021-07-23
M&A,2021-01-11,Sekura Controladora SAPI de CV,Australis Partners Advisers LLC,,,Cash, ,Completed,Financials,2021-01-11
M&A,2020-10-02,Sugar mills/Mexico,Potential Buyer,ED&F Man Holdings Ltd,,Cash, ,Withdrawn,Consumer Staples,2021-04-02
