Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2024-08-05,CEMEX Dominicana SA,Cementos Progreso Holdings SL,Cemex SAB de CV,950.0,Cash, ,Completed,Materials,2025-01-31
M&A,2024-08-15,Ovniver SA de CV,Cie de Saint-Gobain,,815.0,Cash, ,Completed,Materials,2025-01-15
M&A,2024-11-20,Ramones natural gas pipelines/Mexico,Private Investor,Brookfield Corp,500.0,Cash, ,Pending,Energy,2025-03-31
M&A,2023-09-27,ALEATICA SAB de CV,IFM Investors Pty Ltd,,496.23,Cash,8.34,Completed,Industrials,2025-03-26
M&A,2024-06-24,Spare parts business/KUO SAB De CV,Fras-Le SA,Grupo KUO SAB De CV,389.34,Cash, ,Completed,Consumer Discretionary,2025-01-15
M&A,2024-11-26,Acosta Verde SAB de CV,Planigrupo LATAM SAB de CV,,377.91,Cash or Stock,5.48,Terminated,Real Estate,2025-02-28
M&A,2024-05-21,Servicios Corporativos Javer SAB de CV,Vinte Viviendas Integrales SAB de CV,,348.15,Cash,4.1,Completed,Consumer Discretionary,2025-04-25
M&A,2024-10-10,Solistica SA de CV,Grupo Traxion SAB de CV,Fomento Economico Mexicano SAB de CV,207.13,Cash, ,Completed,Industrials,2025-07-01
M&A,2024-10-28,Plastics solutions operations/Fomento Economico Mexicano SAB de CV,AMMI LLC,Fomento Economico Mexicano SAB de CV,158.25,Cash, ,Completed,Industrials,2025-01-03
M&A,2025-07-16,Portfolio of 2 warehouses/Nuevo Leon,Fibra MTY SAPI de CV,,73.4,Cash, ,Completed,Consumer Staples,2025-07-15
M&A,2025-04-16,Tarjetas Del Futuro SAPI de CV,Grupo Financiero Banorte SAB de CV,Rappi SAS,50.0,Cash, ,Completed,Financials,2025-04-16
M&A,2025-05-07,Bonanza Gold Mine Project,Industrias Friesen SA DE CV,Asia Broadband Inc,14.8,Cash, ,Completed,Materials,2025-05-07
M&A,2025-04-16,San Jose mine/Oaxaca,JRC Ingenieria y Construccion SAC,Fortuna Mining Corp,6.5,Cash, ,Completed,Technology,2025-04-16
M&A,2025-01-31,Destileria Los Danzantes SA de CV,Emperador Inc,,3.87,Cash, ,Completed,Communications,2025-01-31
M&A,2025-05-08,Cimarron Project/Sinaloa,Silver Viper Minerals Corp,CSAC Holdings Inc,1.47,Stock, ,Completed,Energy,2025-06-20
M&A,2025-06-30,Cielo Azul Resources SA de CV,Roberto Resources Inc,Durango Gold Corp,0.03,Cash and Stock, ,Completed,Industrials,2025-07-18
M&A,2024-10-04,BLS United Ventures S de RL de CV,BLS International Services Ltd,,0.0,Cash, ,Pending,Industrials,2025-04-14
M&A,2025-03-13,Moriroku Technology de Mexico SA de CV,Aequita SE & Co KGaA,Moriroku Co Ltd,,Undisclosed, ,Pending,Consumer Discretionary,2025-04-30
M&A,2024-09-10,Portfolio of 53 pawn stores/Presta Dinero SA de CV,EZCORP Inc,Presta Dinero SA de CV,,Cash, ,Terminated,Real Estate,2025-03-19
M&A,2024-12-19,"La Misa mine/Mexico,Rosalia mine/Mexico,El Tambor/Mexico",Lucent Inc,,,Cash, ,Proposed,"Materials, Materials, Materials",2025-03-31
M&A,2025-01-13,Los Ramones II Sur/Brookfield Asset Management Ltd,Macquarie Asset Management Pty Ltd,Brookfield Asset Management Inc Manager,,Cash, ,Completed,Energy,2025-01-13
M&A,2025-04-15,11 Tecnologias S de RL de CV,ActiveCampaign Inc,,,Undisclosed, ,Completed,Technology,2025-04-15
M&A,2025-05-07,ED Forwarding SAPI de CV,BDP International Inc,,,Undisclosed, ,Completed,Industrials,2025-05-07
M&A,2025-05-29,"Blue Tissue SAPI de CV,BTC Paper SAPI de CV",GrandBay Group,,,Undisclosed, ,Completed,"Real Estate, Materials",2025-05-29
M&A,2025-01-31,Portfolio of 3 properties/Ciudad Juarez,Eire Capital SC,,,Cash, ,Completed,Real Estate,2025-01-31
M&A,2023-10-19,Mexpago Transacciones SA de CV,Airwallex Pty Ltd,,,Undisclosed, ,Completed,Financials,2025-01-16
M&A,2025-01-28,Los Lirios Antimony Mine/Oaxaca,EV Resources Ltd,,,Cash, ,Completed,Materials,2025-06-12
M&A,2025-05-26,Frialsa Frigorficos SA de CV,Emergent Cold LatAm Management LLC,Wiese Group,,Undisclosed, ,Completed,Real Estate,2025-05-26
M&A,2024-11-15,1100 hectares gold silver mineral claims/Sonora Mexico,Talent Infinity Resource Development Inc,Advantage Mining Group Ltd,,Cash, ,Withdrawn,Materials,2025-05-15
M&A,2025-06-19,Media Sports Latinoamerica Sde RL de CV,Fox Corp,,,Undisclosed, ,Completed,Communications,2025-06-19
M&A,2025-06-18,Portfolio of 40 pawn stores/Mexico,EZCORP Inc,,,Cash, ,Completed,Consumer Discretionary,2025-06-18
M&A,2025-04-29,NET Logistik SA de CV,Argano LLC,,,Undisclosed, ,Completed,Industrials,2025-04-29
M&A,2025-07-05,Pinos gold & silver project/Zacatecas,Goldgroup Mining Inc,,,Cash, ,Completed,Materials,2025-07-05
M&A,2025-07-10,Infraestructura Portuaria Mexicana SA de CV,MSC Mediterranean Shipping Co SA,Promotora y Operadora de Infraestructura SAB de CV,,Cash, ,Completed,Industrials,2025-07-10
M&A,2025-03-14,Blue Energy & Electricity SA de CV,Agrinam Acquisition Corp,,,Stock, ,Terminated,Utilities,2025-06-05
