Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2021-12-15,Grupo Caliente SA,Tekkorp Digital Acquisition Corp,"Codere SA/Spain,Playtech Plc",2500.0,Undisclosed, ,Withdrawn,Consumer Discretionary,2022-10-04
M&A,2022-07-27,Grupo Gondi SA de CV,Westrock Co,,1763.0,Cash, ,Completed,Materials,2022-12-01
M&A,2022-04-25,Ricolino SA de CV,Mondelez International Inc,Grupo Bimbo SAB de CV,1300.0,Cash and Debt, ,Completed,Consumer Staples,2022-11-02
M&A,2021-07-12,Area 4 project/Mexico,LUKOIL PJSC,PetroBal SAPI de CV,435.0,Cash, ,Completed,Energy,2022-03-03
M&A,2022-01-18,Operations/Jafra SA,Betterware de Mexico SAPI de C,Vorwerk SE & Co KG,255.0,Cash, ,Completed,Consumer Staples,2022-04-07
M&A,2021-12-17,"Gasoducto de Morelos SAPI de CV,Morelos O&M SAPI de CV",Macquarie Infrastructure Partners Inc,"Elecnor SA,Enagas SA",173.8,Cash, ,Pending,"Industrials, Industrials",2022-12-31
M&A,2022-11-28,Foxconn Employee Community Development SA DE CV,Hon Hai Precision Industry Co Ltd,,102.98,Cash, ,Completed,Technology,2022-11-28
M&A,2021-12-17,Mercedes gold-silver mine/Sonora,Bear Creek Mining Corp,Equinox Gold Corp,102.59,Cash and Stock, ,Completed,Materials,2022-04-22
M&A,2022-01-13,SSR Durango SA de CV,Endeavour Silver Corp,SSR Mining Inc,70.0,Cash and Stock, ,Completed,Materials,2022-07-07
M&A,2021-12-13,Portfolio of producing gold offtake streams,Trident Royalties PLC,Orion Resource Partners USA LP,69.75,Cash and Stock, ,Completed,Materials,2022-01-11
M&A,2022-11-30,535861 sq ft industrial space/Tijuana,Prologis Property Mexico SA de CV,,56.5,Cash, ,Completed,Real Estate,2022-11-30
M&A,2021-11-18,Portfolio of prescription & OTC counter pharmaceutical products,Eurofarma Laboratorios SA,Hypera SA,51.6,Cash, ,Completed,Health Care,2022-04-01
M&A,2022-01-10,Oil & Gas producing properties/ Federal shallow waters,W&T Offshore Inc,"Korea National Oil Corp,KOA Energy LP",47.0,Cash, ,Completed,Energy,2022-02-02
M&A,2021-10-28,La Preciosa Property/Mexico,Avino Silver & Gold Mines Ltd,Coeur Mining Inc,32.49,"Cash, Stock & Debt", ,Completed,Materials,2022-03-22
M&A,2022-10-24,"Deli Dips & Snacks SAPI de CV,Interdeli SAPI de CV",Grupo Herdez SAB de CV,,29.44,Cash, ,Completed,"Consumer Staples, Consumer Staples",2022-10-24
M&A,2022-03-30,285450 sq ft industrial building/Ciudad Juarez,Prologis Property Mexico SA de CV,,28.0,Cash, ,Completed,Real Estate,2022-03-30
M&A,2021-12-23,Portfolio of 3 hotels/Tijuana,Unnamed Buyer,Hoteles City Express SAB de CV,26.11,Cash, ,Completed,Real Estate,2022-03-17
M&A,2021-12-04,Industrial building/Cienega de Flores,Fibra MTY SAPI de CV,,22.4,Cash, ,Completed,Real Estate,2022-01-28
M&A,2022-11-28,Portfolio of 8 Royalties/Mexico,Metalla Royalty & Streaming Ltd,First Majestic Silver Corp,20.54,Stock, ,Completed,Materials,2022-12-21
M&A,2021-10-08,"Terminal & Cable Tc Inc,Prodamex SA de CV",Volex PLC,,18.03,Cash, ,Completed,"Consumer Discretionary, Industrials",2022-01-04
M&A,2022-07-28,Rancho Costa Verde Development LLC,International Land Alliance Inc,,13.5,Stock, ,Completed,Real Estate,2022-12-29
M&A,2022-09-20,V Modal Mexicana SC,Grupo Traxion SAB de CV,,5.12,Cash and Stock, ,Completed,Industrials,2022-09-20
M&A,2022-10-18,Eagle concession/Mexico,GoGold Resources Inc,,2.1,Cash, ,Completed,Materials,2022-10-18
M&A,2022-02-15,Portfolio of 8 properties/Mexico,Green Earth Metals Inc,Sun Summit Minerals Corp,1.87,Stock, ,Completed,Materials,2022-02-15
M&A,2022-03-07,Ixaya Business SA de CV,HUMBL Inc,,1.52,Cash and Stock, ,Completed,Technology,2022-03-07
M&A,2021-05-18,La Sorpressa III tenement,Comet Resources Ltd,American International Ventures Inc,0.6,Cash and Stock, ,Completed,Materials,2022-03-15
M&A,2022-11-17,Netmedia SA de CV,Digital360 SpA,,0.41,Cash, ,Completed,Technology,2022-11-17
M&A,2022-01-11,Cracks SA de CV,Playmaker Capital Inc,,0.4,Cash, ,Completed,Technology,2022-01-11
M&A,2022-12-12,Zubialink Enterprises SA de CV,Digital360 SpA,,0.31,Cash, ,Completed,Communications,2022-12-12
M&A,2016-09-13,La Quintera Silver Project/Sonora,Minaurum Gold Inc,,0.26,Cash and Stock, ,Completed,Materials,2022-08-31
M&A,2022-01-20,La Trini property/Mexico,GoGold Resources Inc,Kingsmen Resources Ltd,0.21,Cash, ,Completed,Materials,2022-01-20
M&A,2022-10-21,"Profesionales en Proteccion Individual S de RL de CV,Servicios de Asistencia a Tarjehabientes CPP Mexico S de RL de CV",Private Investor,CPP Group PLC,0.05,Cash, ,Completed,"Financials, Financials",2022-10-21
M&A,2022-01-11,Light industrial & logistics park/Guadalajara,Corporate Properties of the Americas LLC,Hines Interests LP,,Cash, ,Completed,Real Estate,2022-01-11
M&A,2022-01-13,Certain assets/Chemcel SA de CV,Barentz Bidco BV,Chemcel SA de CV,,Cash, ,Completed,Consumer Discretionary,2022-01-13
M&A,2022-01-17,ConCredito,Gentera SAB de CV,,,Undisclosed, ,Completed,Technology,2022-01-17
M&A,2022-01-19,OKOL,Inversiones Mcn SAS,,,Undisclosed, ,Completed,Real Estate,2022-01-19
M&A,2022-01-27,Broquers Ambiental SA de CV,Cemex SAB de CV,,,Undisclosed, ,Completed,Industrials,2022-01-27
M&A,2022-01-31,Dextra Technologies SA de CV,Deloitte LLP,,,Undisclosed, ,Completed,Technology,2022-01-31
M&A,2021-08-13,Casa Um SA de CV,Diageo PLC,,,Cash, ,Completed,Consumer Staples,2022-01-27
M&A,2021-10-07,Cusi silver mine/Chihuahua,Potential Buyer,Sierra Metals Inc,,Cash, ,Withdrawn,Materials,2022-04-05
M&A,2021-10-13,7 wheat mills/Mexico,Grupo Trimex SA de CV,Bunge Global SA,,Cash, ,Completed,Consumer Staples,2022-09-15
M&A,2021-10-18,House of Fuller beauty business,Unnamed Buyer,Tupperware Brands Corp,,Cash, ,Pending,Consumer Discretionary,2022-06-30
M&A,2021-10-19,Abasolo,Pernod Ricard SA,Casa Lumbre,,Cash, ,Withdrawn,Consumer Staples,2022-04-17
