Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2023-02-07,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,Banco Santander SA,,3710.0,Cash, ,Completed,Financials,2023-05-16
M&A,2022-06-28,Banco Nacional de Mexico SA,Banco Santander SA,Citigroup Inc,1649.52,Undisclosed, ,Withdrawn,Financials,2023-05-24
M&A,2022-12-05,Banco Nacional de Mexico SA,Grupo Mexico SAB de CV,Citigroup Inc,937.83,Undisclosed, ,Terminated,Financials,2023-06-16
M&A,2023-11-16,Certain offshore oil & gas fields/LLOG Exploration Co LLC,Karoon Energy Ltd,LLOG Exploration Co LLC,720.0,Cash, ,Completed,Energy,2023-10-01
M&A,2023-08-22,Portfolio of industrial real estate/Advance Real Estate LP,Walton Street Capital LLC,Advance Real Estate LP,693.0,Cash, ,Completed,Real Estate,2023-08-22
M&A,2023-04-06,Portfolio of 46 property,Unnamed Buyer,"Unknown Seller,Finsa Inversiones IS de RL de CV",662.0,Cash, ,Completed,Real Estate,2023-04-06
M&A,2023-12-19,PetroBal SAPI de CV,Grupo Carso SAB de CV,,530.0,Cash, ,Completed,Energy,2023-12-19
M&A,2022-07-13,Grupo Sanborns SAB de CV,Grupo Carso SAB de CV,,373.42,Cash,9.82,Completed,Consumer Discretionary,2023-11-06
M&A,2022-12-20,National Material of Mexico S de R L de C V,Kloeckner & Co SE,,340.0,Cash, ,Completed,Industrials,2023-08-01
M&A,2022-06-03,Vitromex ceramic tile business/Mexico,Mohawk Industries Inc,Grupo Industrial Saltillo SAB de CV,299.0,Cash, ,Completed,Consumer Discretionary,2023-03-01
M&A,2023-05-03,Mexican business activities/Ontex Group NV,Empresas CMPC SA,Ontex Group NV,292.75,Cash, ,Completed,Consumer Staples,2023-05-03
M&A,2022-08-10,Risoul & Cia A SA de CV,RS GROUP PLC,,275.0,Cash, ,Completed,Industrials,2023-01-04
M&A,2023-08-24,Portfolio of 2 Industrial Class A Buildings/Tijuana,PLA Administradora Industrial S de RL de CV,,221.0,Cash, ,Completed,Real Estate,2023-08-24
M&A,2023-12-13,Portfolio of 2 buildings/Reynosa,Prologis Property Mexico SA de CV,Prologis Inc,120.0,Cash, ,Completed,Real Estate,2023-12-13
M&A,2023-11-01,SBQ Distribucion SA de CV,SBQ Distribucion SA de CV,Sogefi SpA,120.0,Cash, ,Completed,Financials,2023-11-01
M&A,2023-10-17,Portfolio of 2 buildings/Ciudad Juarez,FIBRA Prologis,Prologis Inc,106.0,Cash, ,Completed,Real Estate,2023-10-17
M&A,2022-10-19,Portfolio of 152 hotels/Mexico,Marriott International Inc/MD,Hoteles City Express SAB de CV,100.0,Cash, ,Completed,Real Estate,2023-05-02
M&A,2022-12-02,Norson Holding S de RL de CV,Industrias Bachoco SAB de CV,,79.0,Cash, ,Completed,Consumer Staples,2023-07-13
M&A,2023-06-19,651258 sq ft Industrial space/Mexico,Prologis Property Mexico SA de CV,Prologis Inc,74.9,Cash, ,Completed,Real Estate,2023-06-19
M&A,2023-03-07,Electrical wiring & interconnection systems business/Queretaro,Latecoere SACA,Bombardier Inc,50.0,Cash, ,Completed,Industrials,2023-07-03
M&A,2023-01-09,Minera la Negra SA de CV,Excellon Resources Inc,Dalu Sarl,50.0,Cash and Stock, ,Terminated,Materials,2023-07-21
M&A,2023-01-07,Grupo Mexicana de Aviacion SA de CV,United Mexican States,,42.6,Cash, ,Completed,Industrials,2023-01-07
M&A,2023-11-22,438966 sq ft Industrial Park/Monterrey,Prologis Property Mexico SA de CV,,32.7,Cash, ,Completed,Real Estate,2023-11-22
M&A,2023-09-21,8 shallow water oil & gas producing assets/Mexico,W&T Offshore Inc,,32.0,Cash, ,Completed,Energy,2023-09-20
M&A,2022-12-08,La Parrilla Silver Mine Complex/Durango,Silver Storm Mining Ltd,First Majestic Silver Corp,22.17,Cash and Stock, ,Completed,Materials,2023-08-15
