Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2024-03-28,La Garra Metates/Mexico,Vizsla Silver Corp,Exploradora Minera La Hacienda SA De CV,9.76,Cash and Stock, ,Completed,Materials,2024-10-17
M&A,2024-10-17,City Express Plus by Marriott San Luis Potosi/Mexico,Unnamed Buyer,Hoteles City Express SAB de CV,5.52,Cash, ,Completed,Consumer Discretionary,2024-10-17
M&A,2024-07-17,"Cerro del Gallo project/Florida Canyon Gold Inc,San Antonio project/Florida Canyon Gold Inc,San Agustin mine/Florida Canyon Gold Inc,El Castillo mine/Florida Canyon Gold Inc,La Colorada mine/Florida Canyon Gold Inc",Heliostar Metals Ltd,Florida Canyon Gold Inc,5.0,Cash, ,Completed,"Industrials, Industrials, Industrials, Industrials, Industrials",2024-11-08
M&A,2024-11-14,Falcon Re Ltd,Torino Re Ltd,Concreat Holdings Philippines Inc,3.01,Cash, ,Pending,Materials,2024-12-31
M&A,2024-10-17,City Express by Marriott San Luis Potosi Universidad/Mexico,Hoteles City Express SAB de CV,,2.61,Cash, ,Completed,Consumer Discretionary,2024-10-17
M&A,2024-05-22,Cusi silver mine/Chihuahua,Silverco Mining Corp,Sierra Metals Inc,2.5,Cash, ,Completed,Materials,2024-07-19
M&A,2018-06-25,Rubi-Esperanza Claims,Silver Viper Minerals Corp,Pan American Silver Corp,0.77,Cash, ,Completed,Materials,2024-07-22
M&A,2024-10-25,Yoquivo gold silver project/Chihuahua,Advance Metals Ltd,Golden Minerals Co,0.57,Cash, ,Completed,Materials,2024-11-23
M&A,2024-07-24,Resortes Libertad SA De CV,Ramkrishna Forgings Ltd,,0.43,Cash, ,Completed,Industrials,2024-08-13
M&A,2023-12-08,"Legacy Eight Curacao NV,Phoenix Digital Services Ltd,Azteca Messenger Services SA de CV",PM Legacy Inc,Kings Entertainment Group Inc,0.13,Cash, ,Completed,"Consumer Discretionary, Consumer Discretionary, Technology",2024-12-05
M&A,2024-05-06,Kopar SA de CV,Applied Industrial Technologies Inc,,0.06,Cash, ,Completed,Industrials,2024-05-01
M&A,2024-02-07,Heolios EnTG SAPI de CV,Engie SA,Tokyo Gas Co Ltd,,Undisclosed, ,Completed,Energy,2024-02-07
M&A,2024-02-13,Beliveo Mexico SA De CV,IntouchCX Inc,,,Undisclosed, ,Completed,Technology,2024-02-13
M&A,2024-02-26,Iberdrola Mexico SA de CV,Unnamed Buyer,Iberdrola SA,,Undisclosed, ,Completed,Utilities,2024-02-26
M&A,2024-03-20,"Bretano Costa Rica SA,Bretano El Salvador SA de CV,Bretano Guatemala SA,Grupo Bretanl Mexico S De Rl De CV",IMCD NV,,,Undisclosed, ,Completed,"Consumer Discretionary, Consumer Discretionary, Materials, Consumer Staples",2024-03-20
M&A,2024-02-13,Beliveo Corp,IntouchCX Inc,,,Undisclosed, ,Completed,Financials,2024-02-13
M&A,2024-04-03,Irrigacion de vanguardia SA de CV,Grupo Rotoplas SAB de CV,,,Undisclosed, ,Completed,Industrials,2024-04-03
M&A,2024-03-30,"Buckskin producing field/Gulf of Mexico,Leon development/Gulf of Mexico,Castile development/Gulf of Mexico,Salamanca FPS/Gulf of Mexico,Sicily discovery/Gulf of Mexico",GOM 1 Holdings Inc,Beacon Offshore Energy LLC,,Cash, ,Completed,"Energy, Energy, Energy, Energy, Energy",2024-03-30
M&A,2024-02-09,Nora property/Durango State,Silver Dollar Resources Inc,Canasil Resources Inc,,Cash, ,Completed,Industrials,2024-02-09
M&A,2024-04-23,Etiflex SA de CV,Pro Mach Inc,,,Undisclosed, ,Completed,Industrials,2024-04-23
M&A,2024-05-08,Taenza SA de CV,Mauser Packaging Solutions Intermediate Co Inc,,,Undisclosed, ,Completed,Materials,2024-05-08
M&A,2024-02-22,Amaritta Foods SL,Grupo Bimbo SAB de CV,,,Undisclosed, ,Completed,Consumer Staples,2024-02-22
M&A,2024-06-17,JWM Solutions Grupo SA de CV,Myplanet Internet Solutions Ltd,,,Undisclosed, ,Completed,Consumer Discretionary,2024-06-17
M&A,2024-05-07,Quimica Delta SA de CV,Brenntag SE,,,Undisclosed, ,Pending,Materials,2024-09-30
M&A,2023-03-14,Murano PV SA DE CV,Murano Global Investments PLC,,,Stock, ,Completed,Industrials,2024-03-21
M&A,2023-10-28,Mexican operation/TC Energy Corp,Potential Buyer,TC Energy Corp,,Cash, ,Withdrawn,Energy,2024-04-29
M&A,2023-12-16,Promotion & Operation SA,Visa Inc,,,Undisclosed, ,Pending,Technology,2024-12-31
M&A,2024-09-12,Minera y Metalurgia Paika SA de CV,Unnamed Buyer,Ranchero Gold Corp,,Undisclosed, ,Completed,Materials,2024-09-12
M&A,2024-01-16,6 fields in shallow waters of the Gulf/Mexico,W&T Offshore Inc,,,Cash, ,Completed,Energy,2024-01-16
M&A,2024-04-29,Certain assets/Grupo Conektame SA de CV,Fomento Economico Mexicano SAB de CV,Grupo Conektame SA de CV,,Cash, ,Completed,Technology,2024-04-29
M&A,2024-09-20,Cinco de Mayo Project,Apollo Silver Corp,MAG Silver Corp,,Cash, ,Completed,Energy,2024-09-20
M&A,2024-09-04,Neoris de Mexico SA de CV,EPAM Systems Inc,,,Undisclosed, ,Pending,Technology,2024-12-31
M&A,2024-09-25,Fabrica de Hielo Apodaca SA de CV,Stone Canyon Industries Holdings Inc,,,Undisclosed, ,Completed,Consumer Staples,2024-09-25
M&A,2024-10-15,Grupo de Actuaciones Novedosas en Tecnologia para Espana y America SA de CV,Aplicaciones y Tratamientos de Sistemas SA,,,Undisclosed, ,Completed,Financials,2024-10-15
M&A,2024-07-08,"Grupo KMC Campos y Campos SC,Matas Lorenzo SC",TMF Orange Holding BV,,,Undisclosed, ,Completed,"Industrials, Industrials",2024-07-08
M&A,2024-07-11,Silver flotation plant/Moctezuma,Mk Metal Trading Mexico Sa De Cv,,,Cash, ,Completed,Consumer Discretionary,2024-07-11
M&A,2024-06-22,JP Sofiexpress SA de CV SFP,DiDi Global Inc,,,Undisclosed, ,Completed,Financials,2024-06-22
M&A,2024-08-12,Mexico facility & related assets/Escalade Inc,Unnamed Buyer,Escalade Inc,,Cash, ,Completed,Consumer Discretionary,2024-08-12
M&A,2024-07-22,Estafeta Mexicana SA de CV,United Parcel Service Inc,,,Undisclosed, ,Pending,Industrials,2024-12-31
M&A,2024-10-28,Mexican exploration assets/Golden Goliath Resources Ltd,Fresnillo PLC,Golden Goliath Resources Ltd,,Cash, ,Completed,Energy,2024-10-28
M&A,2024-12-03,Pay Human Group SA de CV,HR-Path SAS,,,Undisclosed, ,Completed,Industrials,2024-12-03
M&A,2024-11-01,Neoris USA Inc,EPAM Systems Inc,"Cemex SAB de CV,Advent International Corp (Fund: Advent International GPE X LP)",,Cash, ,Completed,Technology,2024-11-01
M&A,2024-08-04,Class A office building/Mexico,Deka Immobilien Investment GmbH,,,Cash, ,Completed,Financials,2024-08-04
M&A,2024-12-04,Anderson Wind Farm/Chaves County,Pacolet Milliken Enterprises Inc,NN Investment Partners BV,,Cash, ,Completed,Energy,2024-12-04
M&A,2024-09-06,Truface SAPI de CV,unico IDtech,,,Undisclosed, ,Completed,Technology,2024-09-06
M&A,2024-09-17,Block 29 Project/Mexico,Repsol SA,PTT Exploration & Production PCL,,Cash, ,Completed,Real Estate,2024-09-20
M&A,2024-10-29,Wingate School/The,Inspired Education Holdings Ltd,,,Undisclosed, ,Completed,Communications,2024-10-29
M&A,2024-09-30,Grandata Inc/Mexico,EVERTEC Inc,,,Undisclosed, ,Completed,Technology,2024-09-30
M&A,2024-04-19,Pemcorp SAPI de CV,Promotora MexPac SA de CV,Atlantica Sustainable Infrastr,,Undisclosed, ,Completed,Utilities,2024-04-19
M&A,2024-12-02,Pequeno Caesermex SAPI de CV,Alera Group Inc,Alta Growth Capital SC,,Cash, ,Completed,Consumer Discretionary,2024-12-02
M&A,2021-07-16,Materias Quimicas de Mexico SA de CV,IMCD NV,,,Undisclosed, ,Completed,Materials,2024-12-31
M&A,2022-08-23,"Promaplast Resinas SA de CV,Promaplast USA Inc,Proveedora de MateriaLes Plasticos SA de CV",IMCD NV,,,Undisclosed, ,Completed,"Industrials, Industrials, Industrials",2024-12-31
M&A,2024-04-04,Montajes Electromecanicos e Ingenieria SA de CV,Atlas Copco AB,,,Undisclosed, ,Completed,Industrials,2024-05-07
M&A,2024-04-20,Industrial assets/Fibra Uno Administracion SA de CV,PLA Administradora Industrial S de RL de CV,Fibra Uno Administracion SA de CV,,Cash, ,Withdrawn,Real Estate,2024-10-21
M&A,2024-05-14,Operaciones Petroleras Soledad S de RL de CV,New Stratus Energy Inc,,,Undisclosed, ,Withdrawn,Materials,2024-11-14
M&A,2024-09-26,Walton Street Capital Mexico S de RL de CV,Ares Management Corp,Walton Street Capital LLC,,Cash, ,Pending,Real Estate,2024-12-31
