Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Completion/Termination Date
M&A,2023-04-04,8539 MW cycle gas turbines & onshore wind asset/Iberdrola Mexico SA de CV,Mexico Infrastructure Partners SA de CV,Iberdrola SA,6000.0,Cash, ,Completed,Utilities,2024-02-27
M&A,2024-06-10,PLA Administradora Industrial S de RL de CV,"Blackstone Inc,MRP Group LP",,1701.3,Cash, ,Terminated,Real Estate,2024-08-02
M&A,2024-07-08,PLA Administradora Industrial S de RL de CV,Macquarie Mexico Real Estate Management SA de CV,,1595.81,Stock, ,Terminated,Real Estate,2024-08-06
M&A,2024-05-17,PLA Administradora Industrial S de RL de CV,Prologis Property Mexico SA de CV,,1461.95,Cash or Stock, ,Completed,Real Estate,2024-08-04
M&A,2024-04-22,Internacional de Ceramica SAB de CV,Holding Lupo Corp IC 2 SA de CV,,715.04,Cash,7.92,Completed,Consumer Discretionary,2024-12-16
M&A,2024-09-05,Neoris NV,EPAM Systems Inc,"Cemex SAB de CV,Advent International Corp (Fund: Advent International GPE X LP)",630.0,Cash, ,Pending,Financials,2024-12-31
M&A,2024-07-18,"Imbera SA de CV,Grupo Torrey SA de CV",Mill Point Capital LLC,Fomento Economico Mexicano SAB de CV,446.56,Cash, ,Completed,"Consumer Discretionary, Industrials",2024-11-04
M&A,2024-04-25,CEMEX Asian South East Corp,"Semirara Mining & Power Corp,DMCI Holdings Inc,Dacon Corp/Philippines",CEMEX Asia BV,305.6,Cash, ,Completed,Financials,2024-12-02
M&A,2024-03-05,La Lucha solar facility/Mexico,Saavi Energia S de RL de CV,Northland Power Inc,205.0,Cash, ,Completed,Energy,2024-06-28
M&A,2024-12-04,Laboratorios Kener SA de CV,Grupo Empresarial Angeles56MX SA de CV,,200.0,Cash, ,Completed,Health Care,2024-12-04
M&A,2024-09-24,1500000 sq ft industrial park/Mexico,Prologis Property Mexico SA de CV,,190.1,Cash, ,Completed,Real Estate,2024-09-24
M&A,2024-05-17,Portfolio of 3 commercial properties/Mexico,Fibra Shop Portafolios Inmobiliarios SAPI de CV,,106.32,Cash, ,Completed,Real Estate,2024-05-17
M&A,2024-12-17,Industrial campus/Monterrey,WP Carey Inc,,100.0,Cash, ,Completed,Real Estate,2024-12-17
M&A,2023-07-27,Life Badge SA de CV,Mapfre SA,,96.23,Cash, ,Completed,Financials,2024-10-17
M&A,2024-06-05,"Catho Online Ltda,Online Career Center Mexico SA De CV",Red Arbor SL,SEEK Ltd,85.0,Cash, ,Completed,"Technology, Communications",2024-06-21
M&A,2024-10-10,411000 sq ft multi customer facility/Tijuana,Prologis Property Mexico SA de CV,,63.7,Cash, ,Completed,Real Estate,2024-10-10
M&A,2024-01-11,Class A industrial property/Monterrey,PLA Administradora Industrial S de RL de CV,,54.0,Cash, ,Completed,Real Estate,2024-01-11
M&A,2024-06-11,Guadalajara World Trade Center SA de CV,Grupo Aeroportuario del Pacifico SAB de CV,,47.5,Cash, ,Pending,Industrials,2024-06-25
M&A,2024-10-25,"Avendia Del Bosque 1170/Jalisco,Avendia Del Bosque 1190/Jalisco,Avendia Del Bosque 1220/Jalisco",Hon Hai Precision Industry Co Ltd,PCE Paragon Solutions Mexico SA de CV,46.25,Cash, ,Completed,"Real Estate, Real Estate, Real Estate",2024-10-25
M&A,2023-10-26,TCP1 Corp,Fuerte Metals Corp,,34.92,Stock, ,Completed,Materials,2024-02-15
M&A,2024-07-10,300000 sq ft Class A Building/Reynosa,FIBRA Prologis,Prologis Inc,26.9,Cash, ,Completed,Consumer Discretionary,2024-07-10
M&A,2023-11-20,Concessions mining/Chihuahua,Coeur Mining Inc,Fresnillo PLC,25.0,Cash, ,Pending,Industrials,2024-06-30
